Date,Video Views,Profile Views,Likes,Comments,Shares
09-09-24,1,0,0,0,0
10-09-24,104,0,8,0,0
11-09-24,255,1,23,2,0
12-09-24,279,1,15,0,0
13-09-24,1445,7,62,4,1
14-09-24,1408,4,29,3,0
15-09-24,907,6,41,1,0
16-09-24,419,3,18,3,0
17-09-24,282,0,11,0,0
18-09-24,623,2,29,3,0
19-09-24,4866,22,68,9,1
20-09-24,12716,56,169,4,4
21-09-24,1187,176,24,2,1
22-09-24,326,2,9,0,0
23-09-24,307,2,13,2,0
24-09-24,223,3,5,0,0
25-09-24,587,4,14,2,0
26-09-24,634,1,12,1,0
27-09-24,260,1,8,0,0
28-09-24,328,2,9,0,0
29-09-24,615,1,22,0,1
30-09-24,419,5,19,2,0
01-10-24,380,5,10,1,0
02-10-24,399,2,23,3,0
03-10-24,498,2,18,1,7
04-10-24,492,4,16,3,0
05-10-24,409,2,15,1,0
06-10-24,6135,55,314,2,2
07-10-24,8834,89,395,6,9
08-10-24,4032,52,215,6,4
09-10-24,3360,31,123,0,0
10-10-24,1337,14,37,4,0
11-10-24,65664,617,1885,27,35
12-10-24,1007995,10657,41661,269,422
13-10-24,847624,9705,27654,215,278
14-10-24,616426,7249,21467,170,240
15-10-24,412380,4712,14706,129,186
16-10-24,269724,3459,9915,139,158
17-10-24,202550,2792,9893,142,181
18-10-24,155677,2073,8547,106,126
19-10-24,154531,2050,8541,113,89
20-10-24,194366,2542,10530,121,99
21-10-24,139555,1996,7578,82,67
22-10-24,70550,966,3448,54,41
23-10-24,65499,895,2811,65,42
24-10-24,44653,567,1557,48,30
25-10-24,32369,380,1142,40,11
26-10-24,21781,226,716,20,6
27-10-24,24800,279,723,28,6
28-10-24,17553,219,504,35,2
29-10-24,16572,200,554,24,12
30-10-24,47717,473,1565,99,24
31-10-24,50651,530,1815,37,21
01-11-24,26994,264,823,21,18
02-11-24,17259,240,511,19,6
03-11-24,16925,221,495,64,7
04-11-24,13818,182,453,16,2
05-11-24,6707,92,208,4,3
06-11-24,4102,58,100,1,1
07-11-24,3707,58,85,1,1
08-11-24,11353,133,358,8,6
09-11-24,7513,83,208,4,9
10-11-24,10093,125,310,13,1
11-11-24,22117,261,578,26,4
12-11-24,6155,72,167,6,2
13-11-24,6517,85,233,11,1
14-11-24,5605,66,179,6,4
15-11-24,4896,70,201,7,2
16-11-24,8867,113,256,11,1
17-11-24,5382,55,102,2,0
18-11-24,45450,461,1106,25,13
19-11-24,17426,186,438,15,7
20-11-24,27930,278,554,14,15
21-11-24,83478,926,1640,32,27
22-11-24,75328,811,1689,50,28
23-11-24,87312,977,2108,63,27
24-11-24,312152,3112,8087,215,146
25-11-24,146098,1552,4081,92,82
26-11-24,70331,802,1541,61,45
27-11-24,144211,1497,4293,145,126
28-11-24,100795,1038,2891,102,56
29-11-24,99178,1057,2034,84,46
30-11-24,72509,727,1530,51,28
01-12-24,625570,4862,41547,372,650
02-12-24,403202,3172,30154,214,534
03-12-24,234437,2034,15121,128,362
04-12-24,251932,1894,8639,109,168
05-12-24,142810,1197,5525,47,101
06-12-24,109209,749,4137,26,40
07-12-24,116656,794,3763,31,39
08-12-24,111813,806,5215,33,64
09-12-24,56445,415,2452,13,42
10-12-24,31102,235,1256,8,12
11-12-24,26236,194,917,1,9
12-12-24,17972,151,562,7,3
13-12-24,40059,234,836,20,7
14-12-24,27104,201,742,5,5
15-12-24,47460,314,1017,14,7
16-12-24,32777,235,1127,5,5
17-12-24,20627,143,741,1,6
18-12-24,16521,146,493,15,2
19-12-24,26820,199,681,10,6
20-12-24,86095,617,3034,48,44
21-12-24,38932,247,1416,14,20
22-12-24,31346,184,961,17,12
23-12-24,32719,237,1156,13,20
24-12-24,22804,156,790,20,16
25-12-24,24053,177,761,2,9
26-12-24,32917,295,1081,14,20
27-12-24,13939,129,518,7,4
28-12-24,12070,106,509,2,11
29-12-24,24342,266,1058,10,19
30-12-24,97992,1087,4978,28,104
31-12-24,104522,888,5265,40,75
01-01-25,69584,656,3127,15,40
02-01-25,56593,492,2275,8,29
03-01-25,33245,295,1399,10,18
04-01-25,15971,139,580,4,3
05-01-25,17050,158,569,7,6
06-01-25,24929,200,822,8,8
07-01-25,14756,109,415,3,5
08-01-25,11468,69,345,3,4
09-01-25,11913,124,410,5,2
10-01-25,7337,56,203,2,6
11-01-25,9086,59,316,3,3
12-01-25,10569,95,355,6,2
13-01-25,12447,98,370,11,2
14-01-25,9563,90,374,3,4
